present,location,dist,elev,vector,year,rev_pres
0,E.Tarbet,339,2.6,339.0099704,2012,1
0,E.Tarbet,298,3.3,298.0182713,2012,1
0,E.Tarbet,280,3.8,280.0257845,2012,1
0,E.Tarbet,349,2.7,349.010444,2012,1
0,E.Tarbet,330,2.8,330.0118786,2012,1
0,E.Tarbet,332,3.4,332.0174092,2012,1
0,E.Tarbet,256,2.3,256.0103318,2012,1
0,E.Tarbet,212,3.4,212.0272624,2012,1
0,E.Tarbet,261,11,261.2316979,2012,1
0,E.Tarbet,332,2.7,332.0109787,2012,1
0,E.Tarbet,227,2.5,227.0137661,2012,1
0,E.Tarbet,233,4,233.0343322,2012,1
0,E.Tarbet,102,4.8,102.1128787,2012,1
0,E.Tarbet,67,2.8,67.05848194,2012,1
0,E.Tarbet,180,6.1,180.1033315,2012,1
0,E.Tarbet,321,2.8,321.0122116,2012,1
0,E.Tarbet,204,2.7,204.0178669,2012,1
0,E.Tarbet,220,2.7,220.0165676,2012,1
0,E.Tarbet,309,2.4,309.0093202,2012,1
0,The_Loan,99,6.9,99.24016324,2012,1
0,The_Loan,107,4.3,107.086367,2012,1
0,The_Loan,86,3.5,86.07119146,2012,1
0,The_Loan,24,2.3,24.10995645,2012,1
0,The_Loan,17,2.1,17.12921481,2012,1
0,The_Loan,55,3.4,55.1049907,2012,1
0,The_Loan,157,4.1,157.0535259,2012,1
0,The_Loan,124,2.9,124.0339067,2012,1
0,The_Loan,46,3.7,46.14856444,2012,1
0,Pilgrims,90,3.3,90.06047968,2012,1
0,Pilgrims,85,3.2,85.06021397,2012,1
0,Pilgrims,91,3.5,91.06728282,2012,1
0,Pilgrims,61,1.2,61.01180214,2012,1
0,Pilgrims,59,1.2,59.01220213,2012,1
0,Pilgrims,58,1.2,58.01241246,2012,1
0,Pilgrims,67,1.5,67.01678894,2012,1
0,Pilgrims,79,3.3,79.06889401,2012,1
0,Pilgrims,90,3.3,90.06047968,2012,1
0,Pilgrims,98,4.8,98.1174806,2012,1
0,Pilgrims,98,4.9,98.12242353,2012,1
0,Pilgrims,93,3.1,93.05165232,2012,1
0,Pilgrims,97,3.4,97.05956934,2012,1
0,Pilgrims,117,5,117.1067889,2012,1
0,Pilgrims,42,2,42.04759208,2012,1
0,Pilgrims,40,2,40.04996879,2012,1
0,Pilgrims,84,3.3,84.06479644,2012,1
0,Pilgrims,106,3.9,106.071721,2012,1
0,Pilgrims,95,2.8,95.0412542,2012,1
0,Pilgrims,90,2.4,90.03199431,2012,1
0,Pilgrims,57,3.5,57.10735504,2012,1
0,Pilgrims,61,2.2,61.03965924,2012,1
1,E.Tarbet,288,2.5,288.0108505,2012,0
1,E.Tarbet,285,2.4,285.0101051,2012,0
1,E.Tarbet,369,2.2,369.0065582,2012,0
1,E.Tarbet,385,2.3,385.0068701,2012,0
1,E.Tarbet,340,2.6,340.009941,2012,0
1,E.Tarbet,354,3.6,354.0183046,2012,0
1,E.Tarbet,369,7.4,369.0741931,2012,0
1,E.Tarbet,375,10,375.1333096,2012,0
1,E.Tarbet,372,8.1,372.088175,2012,0
1,E.Tarbet,333,3.5,333.0183929,2012,0
1,E.Tarbet,336,3.4,336.0172019,2012,0
1,E.Tarbet,348,5.3,348.0403569,2012,0
1,E.Tarbet,356,5.5,356.0424834,2012,0
1,E.Tarbet,356,6.8,356.0649379,2012,0
1,E.Tarbet,351,6.9,351.067814,2012,0
1,E.Tarbet,379,13.5,379.2403591,2012,0
1,E.Tarbet,387,14.6,387.2753026,2012,0
