Year,area,ID_gone,arrival,gone,duration,dist,elevation,dist_el_vec,tide_strata,ID_correct,dev_stage
2012,E. tarbet,29,24/10/2012,05/11/2012,12,339,2.6,339.01,LWN_HWN,1,1
2012,E. tarbet,30,18/11/2012,28/11/2012,10,298,3.3,298.02,LWN_HWN,1,2
2012,E. tarbet,31,18/11/2012,28/11/2012,10,280,3.8,280.03,LWN_HWN,1,3
2012,E. tarbet,32,14/10/2012,05/11/2012,22,349,2.7,349.01,LWN_HWN,1,1
2012,E. tarbet,33,18/11/2012,28/11/2012,10,330,2.8,330.01,LWN_HWN,1,2
2012,E. tarbet,34,18/11/2012,28/11/2012,10,332,3.4,332.02,LWN_HWN,1,3
2012,E. tarbet,35,28/11/2012,02/12/2012,4,256,2.3,256.01,LWN_HWN,0,3
2012,E. tarbet,36,28/11/2012,02/12/2012,4,212,3.4,212.03,LWN_HWN,0,2
2012,E. tarbet,37,28/11/2012,02/12/2012,4,261,11,261.23,Dry,0,2
2012,E. tarbet,38,18/11/2012,28/11/2012,10,332,2.7,332.01,LWN_HWN,1,2
2012,E. tarbet,39,18/11/2012,28/11/2012,10,227,2.5,227.01,LWN_HWN,1,2
2012,E. tarbet,40,18/11/2012,28/11/2012,10,233,4,233.03,HWN_HWS,1,2
2012,E. tarbet,41,18/11/2012,28/11/2012,10,102,4.8,102.11,HWN_HWS,1,2
2012,E. tarbet,42,05/11/2012,18/11/2012,13,67,2.8,67.06,LWN_HWN,1,2
2012,E. tarbet,43,05/11/2012,18/11/2012,13,180,6.1,180.1,Dry,1,2
2012,E. tarbet,44,05/11/2012,18/11/2012,13,321,2.8,321.01,LWN_HWN,1,1
2012,E. tarbet,45,14/10/2012,24/10/2012,10,204,2.7,204.02,LWN_HWN,1,2
2012,E. tarbet,46,05/11/2012,18/11/2012,13,220,2.7,220.02,LWN_HWN,1,2
2012,E. tarbet,47,05/11/2012,18/11/2012,13,309,2.4,309.01,LWN_HWN,1,2
2012,Loan,20,24/10/2012,28/11/2012,35,99,6.9,99.24,Dry,1,1
2012,Loan,21,05/11/2012,28/11/2012,23,107,4.3,107.09,HWN_HWS,1,2
2012,Loan,22,18/11/2012,28/11/2012,10,86,3.5,86.07,LWN_HWN,1,2
2012,Loan,23,18/11/2012,28/11/2012,10,24,2.3,24.11,LWN_HWN,1,2
2012,Loan,24,18/11/2012,28/11/2012,10,17,2.1,17.13,LWN_HWN,1,2
2012,Loan,25,18/11/2012,28/11/2012,10,55,3.4,55.1,LWN_HWN,1,2
2012,Loan,26,18/11/2012,28/11/2012,10,157,4.1,157.05,HWN_HWS,1,2
2012,Loan,27,28/11/2012,02/12/2012,4,124,2.9,124.03,LWN_HWN,0,3
2012,Loan,28,05/11/2012,28/11/2012,23,46,3.7,46.15,LWN_HWN,1,2
2012,Pilgrims,0,18/11/2012,28/11/2012,10,90,3.3,90.06,LWN_HWN,1,2
2012,Pilgrims,1,18/11/2012,28/11/2012,10,85,3.2,85.06,LWN_HWN,1,2
2012,Pilgrims,2,18/11/2012,28/11/2012,10,91,3.5,91.07,LWN_HWN,1,3
2012,Pilgrims,3,19/11/2012,28/11/2012,9,61,1.2,61.01,LWS_LWN,1,2
2012,Pilgrims,4,19/11/2012,28/11/2012,9,59,1.2,59.01,LWS_LWN,1,2
2012,Pilgrims,5,19/11/2012,28/11/2012,9,58,1.2,58.01,LWS_LWN,1,2
2012,Pilgrims,6,19/11/2012,28/11/2012,9,67,1.5,67.02,LWS_LWN,1,2
2012,Pilgrims,7,05/11/2012,18/11/2012,13,79,3.3,79.07,LWN_HWN,1,2
2012,Pilgrims,8,24/10/2012,05/11/2012,12,90,3.3,90.06,LWN_HWN,1,2
2012,Pilgrims,9,24/10/2012,05/11/2012,12,98,4.8,98.12,HWN_HWS,1,2
2012,Pilgrims,10,05/11/2012,28/11/2012,23,98,4.9,98.12,HWN_HWS,1,3
2012,Pilgrims,11,18/11/2012,28/11/2012,10,93,3.1,93.05,LWN_HWN,1,2
2012,Pilgrims,12,02/11/2012,18/11/2012,16,97,3.4,97.06,LWN_HWN,1,3
2012,Pilgrims,13,24/10/2012,28/11/2012,35,117,5,117.11,HWN_HWS,1,2
2012,Pilgrims,14,05/11/2012,18/11/2012,13,42,2,42.05,LWN_HWN,1,2
2012,Pilgrims,15,05/11/2012,18/11/2012,13,40,2,40.05,LWN_HWN,1,2
2012,Pilgrims,16,05/11/2012,28/11/2012,23,84,3.3,84.06,LWN_HWN,1,3
2012,Pilgrims,17,05/11/2012,18/11/2012,13,106,3.9,106.07,LWN_HWN,1,2
2012,Pilgrims,18,05/11/2012,18/11/2012,13,95,2.8,95.04,LWN_HWN,1,2
2012,Pilgrims,19,24/10/2012,05/11/2012,12,90,2.4,90.03,LWN_HWN,1,2
2012,Pilgrims,48,14/10/2012,24/10/2012,10,57,3.5,57.11,LWN_HWN,1,1
2012,Pilgrims,49,14/10/2012,24/10/2012,10,61,2.2,61.04,LWN_HWN,1,1
2008,E. tarbet,34,27/10/2008,19/11/2008,23,269,2,269.01,LWN_HWN,1,3
2008,E. tarbet,35,27/10/2008,10/11/2008,14,246,1.6,246.01,LWN_HWN,1,2
2008,E. tarbet,36,27/10/2008,10/11/2008,14,129,3,129.03,LWN_HWN,1,2
2008,E. tarbet,37,27/10/2008,10/11/2008,14,357,6,357.05,Dry,1,2
2008,E. tarbet,38,27/10/2008,10/11/2008,14,284,3.2,284.02,LWN_HWN,1,2
2008,E. tarbet,39,10/11/2008,19/11/2008,9,128,4.3,128.07,HWN_HWS,1,2
2008,E. tarbet,40,10/11/2008,19/11/2008,9,135,3.8,135.05,HWN_HWS,1,1
2008,E. tarbet,41,10/11/2008,19/11/2008,9,161,2.6,161.02,LWN_HWN,1,2
2008,E. tarbet,42,10/11/2008,19/11/2008,9,166,2.5,166.02,LWN_HWN,1,1
2008,E. tarbet,43,10/11/2008,19/11/2008,9,202,3.1,202.02,LWN_HWN,1,2
2008,E. tarbet,44,30/11/2008,30/11/2008,0,95,2.5,95.03,LWN_HWN,0,2
2008,E. tarbet,45,19/11/2008,30/11/2008,11,196,3,196.02,LWN_HWN,1,2
2008,E. tarbet,46,19/11/2008,30/11/2008,11,96,4.5,96.11,HWN_HWS,1,2
2008,E. tarbet,47,30/11/2008,30/11/2008,0,192,2,192.01,LWN_HWN,0,2
2008,E. tarbet,48,19/11/2008,30/11/2008,11,303,1.8,303.01,LWN_HWN,1,3
2008,E. tarbet,49,30/11/2008,30/11/2008,0,91,4.6,91.12,HWN_HWS,0,2
2008,E. tarbet,50,19/11/2008,30/11/2008,11,284,1.1,284,LWS_LWN,1,2
2008,E. tarbet,51,19/11/2008,30/11/2008,11,284,1.2,284,LWS_LWN,1,3
2008,E. tarbet,52,19/11/2008,30/11/2008,11,324,2.3,324.01,LWN_HWN,1,3
2008,E. tarbet,53,19/11/2008,30/11/2008,11,323,2.3,323.01,LWN_HWN,1,2
2008,Loan,20,27/10/2008,10/11/2008,14,55,0.6,55,LWS_LWN,1,2
2008,Loan,21,27/10/2008,19/11/2008,23,36,2.8,36.11,LWN_HWN,1,2
2008,Loan,22,10/11/2008,19/11/2008,9,139,4.1,139.06,HWN_HWS,1,2
2008,Loan,23,19/11/2008,30/11/2008,11,74,3.4,74.08,LWN_HWN,1,2
2008,Loan,24,19/11/2008,30/11/2008,11,42,2.8,42.09,LWN_HWN,1,2
2008,Loan,25,19/11/2008,30/11/2008,11,72,2.6,72.05,LWN_HWN,1,2
2008,Loan,26,19/11/2008,30/11/2008,11,115,2.4,115.03,LWN_HWN,1,2
2008,Loan,27,19/11/2008,01/12/2008,12,106,2.5,106.03,LWN_HWN,1,1
2008,Loan,28,19/11/2008,30/11/2008,11,188,2.7,188.02,LWN_HWN,1,2
2008,Loan,29,19/11/2008,30/11/2008,11,142,2.7,142.03,LWN_HWN,1,2
2008,Loan,30,30/11/2008,01/12/2008,1,151,2.6,151.02,LWN_HWN,0,2
2008,Loan,31,30/11/2008,01/12/2008,1,81,2.3,81.03,LWN_HWN,0,3
2008,Loan,32,30/11/2008,01/12/2008,1,20,0.6,20.01,LWS_LWN,0,3
2008,Loan,33,30/11/2008,01/12/2008,1,16,0.2,16,LWS_LWN,0,2
2008,Pilgrims,0,18/10/2008,27/10/2008,9,49,2.3,49.05,LWN_HWN,1,2
2008,Pilgrims,1,18/10/2008,27/10/2008,9,104,3.1,104.05,LWN_HWN,1,1
